loss,accuracy,val_loss,val_accuracy,epoch
0.8987032771110535,0.5418060421943665,0.6111257672309875,0.7162162065505981,0
0.6513350009918213,0.6354514956474304,0.730148196220398,0.6081081032752991,1
0.6717811226844788,0.6755852699279785,0.6567797064781189,0.7162162065505981,2
0.5937583446502686,0.7190635204315186,0.6588043570518494,0.6216216087341309,3
0.5850830078125,0.6789297461509705,0.5204839706420898,0.7162162065505981,4
0.524603545665741,0.7224080562591553,0.5446802973747253,0.7567567825317383,5
0.5010257363319397,0.7157190442085266,0.4931635856628418,0.7702702879905701,6
0.4580979347229004,0.7759197354316711,0.5611482858657837,0.6756756901741028,7
0.46540501713752747,0.7491638660430908,0.6030588746070862,0.662162184715271,8
0.47469204664230347,0.7926421165466309,0.5030903816223145,0.7162162065505981,9
0.39803215861320496,0.8127090334892273,0.6414437294006348,0.6891891956329346,10
0.47525259852409363,0.7892976403236389,0.6558459401130676,0.6081081032752991,11
0.374003529548645,0.8394649028778076,0.5685693025588989,0.7297297120094299,12
0.2621079087257385,0.8963210582733154,0.6952567100524902,0.7162162065505981,13
0.20482298731803894,0.9331103563308716,0.7849442958831787,0.7162162065505981,14
0.18314111232757568,0.9397993087768555,0.7880752086639404,0.6351351141929626,15
0.18990100920200348,0.9297658801078796,0.7206494808197021,0.7297297120094299,16
0.10044710338115692,0.9765886068344116,0.8514652848243713,0.7432432174682617,17
0.07168202847242355,0.9832776188850403,0.9457467794418335,0.7432432174682617,18
0.06100495159626007,0.9899665713310242,0.906355082988739,0.7162162065505981,19
